house_index,bedrooms,bathrooms,toilets,property_type,property_subtype,locality,postal_code,street,number,box,apptFloor,totalfloorCount,latitude,longitude,kitchen,facades,furnished,terrace,terraceSurface,fireplace,fireplaceCount,garden,gardenSurface,pool,landSurface,livingArea,buildingState,constructionYear,cadastralIncome,price,nearest_transport,nearest_school,nearest_supermarket,mobib_score
11407,2.0,1.0,1.0,APARTMENT,APARTMENT,OOSTROZEBEKE,8780,Leegstraat,2,3,1.0,,50.9197901,3.3316353,0.0,2.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,,125.0,GOOD,1979.0,870.0,165000.0,147.91436463615133,5427.145933678579,434.13816544034825,6.5133554035249
11408,2.0,1.0,1.0,APARTMENT,APARTMENT,Bredene,8450,Antwerpenstraat,7,001,0.0,3.0,51.247222,2.9643932,1.0,,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,,55.0,GOOD,2007.0,705.0,179000.0,221.1626910499103,3074.712342772642,148.674562566317,7.556191808374147
11409,2.0,1.0,0.0,APARTMENT,APARTMENT,Deurne (2100),2100,Bisschoppenhoflaan,448,202,2.0,4.0,51.2342567,4.469589,1.0,,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,68.0,JUST_RENOVATED,1976.0,904.0,189000.0,534.0693192741788,698.8984810526904,194.06037948524062,8.692601667275808
11410,0.0,1.0,1.0,APARTMENT,FLAT_STUDIO,BLANKENBERGE,8370,Franchommelaan,60,,6.0,10.0,51.3131611,3.1179104,1.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,37.0,GOOD,1978.0,602.0,189000.0,300.35461072164185,647.3559494197285,551.1105559800966,8.800549515437927
11411,1.0,1.0,1.0,APARTMENT,APARTMENT,Tielt (8700),8700,Beernegemstraat,33,2.2,2.0,2.0,50.9946531,3.3333917,0.0,,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,,67.0,GOOD,2007.0,603.0,193000.0,114.10265726474674,4028.481915001371,584.2129610858674,6.772733206255512
11412,1.0,1.0,0.0,APARTMENT,APARTMENT,Oostende,8400,Zeedijk,250,02.03,2.0,8.0,51.2146822,2.8757331,0.0,,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,52.0,TO_BE_DONE_UP,1987.0,810.0,199000.0,215.5846286664965,2442.4999788201594,924.4981544514552,7.467888406263595
11413,2.0,1.0,0.0,APARTMENT,APARTMENT,OUDEGEM,9200,Oudegemse baan,183,3,1.0,3.0,51.0174573,4.0652595,1.0,,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,85.0,GOOD,1983.0,810.0,199000.0,300.6721487298307,1492.136294041826,1331.1343870911721,7.716923347604894
11414,2.0,1.0,1.0,APARTMENT,APARTMENT,TOURNAI,7500,rue des fougères,12/21,,3.0,4.0,50.5953526,3.3982758,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,70.0,GOOD,2010.0,0.0,199890.0,365.8088406830125,969.6771947140313,753.0394855011317,8.363777092279209
11415,1.0,1.0,1.0,APARTMENT,APARTMENT,BRUSSEL,1000,STEVINSTRAAT,109,J5,5.0,6.0,50.8445591,4.3811743,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.0,GOOD,2000.0,664.0,215000.0,174.54129632708134,615.7002390856921,519.0156482465774,9.010801013342379
11416,3.0,1.0,1.0,APARTMENT,APARTMENT,DUFFEL,2570,Geleweg,28,2,1.0,2.0,51.0902053,4.4928248,0.0,,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,,85.0,GOOD,1979.0,803.0,215000.0,130.6074937651688,486.85371734709577,989.7545680500783,8.84145115138166
11417,2.0,1.0,1.0,APARTMENT,APARTMENT,Stabroek,2940,Parklaan,33,V2,2.0,2.0,51.3346856,4.3640603,1.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,94.0,GOOD,1978.0,808.0,215000.0,342.3400545971087,3375.213126933808,4254.308882281059,4.4571985877272775
11418,2.0,1.0,1.0,APARTMENT,APARTMENT,PUURS-SINT-AMANDS,2870,Eeuwfeeststraat,2,2,2.0,2.0,51.0743343,4.2798007,1.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,112.0,GOOD,1978.0,694.0,224000.0,375.02930422145386,4420.443199828619,148.37371513095465,6.454082984398345
11419,2.0,1.0,1.0,APARTMENT,APARTMENT,EDEGEM,2650,Pastoor Wouterstraat,10,22,2.0,2.0,51.1513928,4.4551345,1.0,2.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,,76.0,GOOD,1977.0,845.0,234000.0,284.9834250131269,423.63783899634933,915.781831795404,8.727075652787995
11420,0.0,1.0,1.0,APARTMENT,FLAT_STUDIO,Auderghem,1160,Avenue Pré des Agneaux,35,,0.0,4.0,50.810821,4.421850600000001,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.0,GOOD,2009.0,969.0,235000.0,215.9428638674524,1206.4795312403432,608.3475053007762,8.50219149048265
11421,2.0,1.0,1.0,APARTMENT,APARTMENT,HOFSTADE,9308,Steenweg op Aalst,199,4,1.0,2.0,50.9522172,4.0314231,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,92.0,GOOD,1980.0,733.0,239000.0,655.0766642229993,547.3046614295248,1280.9220902352238,7.907746613259501
